Classifier,CV_Accuracy,CV_Acc_Std,CV_F1,CV_F1_Std,CV_AUC,CV_AUC_Std,Train_Acc,Precision,Recall,F1
Logistic Regression,0.7015,0.0867,0.6955,0.1037,0.7743,0.1025,0.75,0.7838,0.6905,0.7342
Decision Tree,0.7007,0.139,0.6891,0.1385,0.6797,0.1492,0.9048,0.9474,0.8571,0.9
Random Forest,0.7029,0.1102,0.6976,0.1352,0.7649,0.1381,1.0,1.0,1.0,1.0
Linear SVM,0.7015,0.0867,0.6955,0.1037,0.7458,0.0785,0.7381,0.7632,0.6905,0.725
